states_to_learn
Kentucky
South Dakota
Delaware
Tennessee
Utah
New Mexico
Arkansas
Indiana
New Jersey
Iowa
Pennsylvania
South Carolina
Oregon
Rhode Island
Arizona
Maine
Wyoming
Vermont
Nebraska
North Carolina
Virginia
Missouri
Florida
Ohio
Kansas
Georgia
Montana
New York
Texas
Massachusetts
Idaho
Wisconsin
North Dakota
Oklahoma
Alabama
Maryland
Hawaii
Connecticut
Alaska
Minnesota
Colorado
Mississippi
West Virginia
Louisiana
Washington
Nevada
Illinois
New Hampshire
Michigan
